[2024-07-18 19:32:11.762]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-07-18 19:32:11.817]	 Already installed "vim-tmux-navigator"
[2024-07-18 19:32:11.818]	 Already installed "tmux-resurrect"
[2024-07-18 19:32:11.841]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-07-18 19:32:11.869]	 Updating all plugins!
[2024-07-18 19:32:11.869]	 
[2024-07-18 19:32:13.664]	   "vim-tmux-navigator" update success
[2024-07-18 19:32:13.694]	     | Already up to date.
[2024-07-18 19:32:13.921]	   "tmux-resurrect" update success
[2024-07-18 19:32:13.956]	     | Already up to date.
[2024-07-18 19:32:13.997]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-07-18 19:32:14.360]	 Done.

[2024-07-19 07:32:13.388]	 List of discovered tpm plugins: 
[2024-07-19 07:32:13.406]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-07-19 07:32:13.441]	 Already installed "vim-tmux-navigator"
[2024-07-19 07:32:13.442]	 Already installed "tmux-resurrect"
[2024-07-19 07:32:13.459]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-07-19 07:32:13.478]	 Updating all plugins!
[2024-07-19 07:32:13.478]	 
[2024-07-19 07:32:14.543]	   "vim-tmux-navigator" update success
[2024-07-19 07:32:14.546]	     | Already up to date.
[2024-07-19 07:32:14.611]	   "tmux-resurrect" update success
[2024-07-19 07:32:14.613]	     | Already up to date.
[2024-07-19 07:32:14.631]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-07-19 07:32:14.681]	 Done.

[2024-07-20 10:25:17.851]	 List of discovered tpm plugins: 
[2024-07-20 10:25:17.879]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-07-20 10:25:17.936]	 Already installed "vim-tmux-navigator"
[2024-07-20 10:25:17.938]	 Already installed "tmux-resurrect"
[2024-07-20 10:25:17.961]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-07-20 10:25:17.992]	 Updating all plugins!
[2024-07-20 10:25:17.992]	 
[2024-07-20 10:25:19.270]	   "vim-tmux-navigator" update success
[2024-07-20 10:25:19.281]	     | Already up to date.
[2024-07-20 10:25:19.311]	   "tmux-resurrect" update success
[2024-07-20 10:25:19.316]	     | Already up to date.
[2024-07-20 10:25:19.344]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-07-20 10:25:19.432]	 Done.

[2024-07-26 05:25:53.753]	 List of discovered tpm plugins: 
[2024-07-26 05:25:53.772]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/install_plugins
[2024-07-26 05:25:53.813]	 Already installed "vim-tmux-navigator"
[2024-07-26 05:25:53.813]	 Already installed "tmux-resurrect"
[2024-07-26 05:25:53.832]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/update_plugins all
[2024-07-26 05:25:53.852]	 Updating all plugins!
[2024-07-26 05:25:53.852]	 
[2024-07-26 05:25:54.951]	   "vim-tmux-navigator" update success
[2024-07-26 05:25:54.953]	     | Already up to date.
[2024-07-26 05:25:55.006]	   "tmux-resurrect" update success
[2024-07-26 05:25:55.010]	     | Already up to date.
[2024-07-26 05:25:55.032]	 Invoking /home/nizar/.config/tmux/plugins//tpm/bin/clean_plugins all
[2024-07-26 05:25:55.093]	 Done.

